Drones: 3
Drone 1: 0 0
Drone 2: 0 1
Drone 3: 0 2
Aim: *

D D D 1 1 0 0 0 0 0 0 0 0 0 0 *
0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
